implementation,matrix_size,parallel_units,execution_time
sequential,1000,1,3.561579686
sequential,1500,1,15.862924244
sequential,2000,1,49.982268927
sequential,2500,1,79.678621229
sequential,3000,1,157.805988635
sequential,1000,1,3.790419879
sequential,1500,1,12.010152500
sequential,2000,1,40.447625657
sequential,2500,1,84.921160523
sequential,3000,1,178.550276156
sequential,1000,1,3.401594433
sequential,1500,1,11.950008715
sequential,2000,1,49.510163130
sequential,2500,1,86.955104887
sequential,3000,1,179.628765360
sequential,1000,1,3.419052459
sequential,1500,1,12.096157135
sequential,2000,1,48.270541094
sequential,2500,1,84.199175171
sequential,3000,1,156.860871930
sequential,1000,1,3.653025217
sequential,1500,1,12.642147031
sequential,2000,1,40.778817120
sequential,2500,1,86.194341785
sequential,3000,1,164.843374242
sequential,1000,1,3.479998454
sequential,1500,1,13.700109102
sequential,2000,1,43.105747846
sequential,2500,1,80.405225360
sequential,3000,1,160.914078289
sequential,1000,1,3.558170156
sequential,1500,1,12.095128387
sequential,2000,1,45.300474355
sequential,2500,1,81.099497488
sequential,3000,1,157.578233899
sequential,1000,1,3.819465901
sequential,1500,1,12.150613199
sequential,2000,1,43.332624252
sequential,2500,1,81.807111494
sequential,3000,1,154.750948236
sequential,1000,1,3.686685198
sequential,1500,1,12.467313930
sequential,2000,1,43.517594263
sequential,2500,1,81.108361187
sequential,3000,1,154.637728503
sequential,1000,1,3.520734491
sequential,1500,1,12.043500468
sequential,2000,1,42.411813348
sequential,2500,1,84.723817646
sequential,3000,1,153.718296491
threads,1000,4,0.904400589
threads,1500,4,3.191461068
threads,2000,4,16.577731077
threads,2500,4,31.817003732
threads,3000,4,56.638196682
threads,1000,8,0.594688619
threads,1500,8,2.691007662
threads,2000,8,7.958371563
threads,2500,8,17.424674329
threads,3000,8,33.201036205
threads,1000,12,0.521967311
threads,1500,12,2.149143917
threads,2000,12,5.883038204
threads,2500,12,15.362033352
threads,3000,12,30.408126176
threads,1000,16,0.527067937
threads,1500,16,2.112980107
threads,2000,16,5.753450305
threads,2500,16,15.191985401
threads,3000,16,30.149235448
threads,1000,20,0.529886232
threads,1500,20,2.095863612
threads,2000,20,5.767614766
threads,2500,20,14.616103784
threads,3000,20,30.618854100
threads,1000,4,0.858931089
threads,1500,4,3.532274592
threads,2000,4,12.737021088
threads,2500,4,24.008369868
threads,3000,4,44.677405653
threads,1000,8,0.588214284
threads,1500,8,2.660791993
threads,2000,8,7.945765715
threads,2500,8,17.479180560
threads,3000,8,33.854236756
threads,1000,12,0.514506995
threads,1500,12,2.271107940
threads,2000,12,5.830475170
threads,2500,12,14.432757787
threads,3000,12,31.027808702
threads,1000,16,0.594605490
threads,1500,16,2.189871937
threads,2000,16,5.715956591
threads,2500,16,14.501290835
threads,3000,16,29.749901523
threads,1000,20,0.512538375
threads,1500,20,2.087304426
threads,2000,20,6.011621842
threads,2500,20,14.929021057
threads,3000,20,30.266726807
threads,1000,4,0.819601867
threads,1500,4,3.711294720
threads,2000,4,12.668972503
threads,2500,4,24.795564235
threads,3000,4,45.955801438
threads,1000,8,0.631530707
threads,1500,8,2.642172440
threads,2000,8,7.829326435
threads,2500,8,17.691447701
threads,3000,8,33.213664788
threads,1000,12,0.499802861
threads,1500,12,2.093779118
threads,2000,12,5.906243491
threads,2500,12,14.739474006
threads,3000,12,30.511943182
threads,1000,16,0.523352690
threads,1500,16,2.146600271
threads,2000,16,5.702684008
threads,2500,16,15.036647263
threads,3000,16,29.953402092
threads,1000,20,0.523358144
threads,1500,20,2.180663428
threads,2000,20,5.964998863
threads,2500,20,16.026139857
threads,3000,20,29.564640724
threads,1000,4,0.795335486
threads,1500,4,3.318940924
threads,2000,4,11.502741148
threads,2500,4,21.671491448
threads,3000,4,43.876993822
threads,1000,8,0.615938807
threads,1500,8,2.682631582
threads,2000,8,8.062029042
threads,2500,8,17.379103804
threads,3000,8,33.590587385
threads,1000,12,0.528008734
threads,1500,12,2.198100921
threads,2000,12,5.811405239
threads,2500,12,14.450114782
threads,3000,12,30.663208527
threads,1000,16,0.526500345
threads,1500,16,2.152050067
threads,2000,16,5.752156710
threads,2500,16,14.982560684
threads,3000,16,29.794238212
threads,1000,20,0.533644704
threads,1500,20,2.083754044
threads,2000,20,5.828665860
threads,2500,20,15.245968296
threads,3000,20,29.218339510
threads,1000,4,0.940473018
threads,1500,4,3.068011088
threads,2000,4,12.490213188
threads,2500,4,24.902618910
threads,3000,4,45.730834198
threads,1000,8,0.608653865
threads,1500,8,2.730403055
threads,2000,8,7.799123526
threads,2500,8,17.237564249
threads,3000,8,33.533007756
threads,1000,12,0.509145155
threads,1500,12,2.324120568
threads,2000,12,5.912012094
threads,2500,12,14.473318585
threads,3000,12,30.549545406
threads,1000,16,0.593830729
threads,1500,16,2.366874749
threads,2000,16,6.496877505
threads,2500,16,14.576033579
threads,3000,16,29.964190336
threads,1000,20,0.523214703
threads,1500,20,2.090852920
threads,2000,20,6.053509099
threads,2500,20,14.545095930
threads,3000,20,29.660867701
threads,1000,4,0.929016202
threads,1500,4,3.055580866
threads,2000,4,12.795507723
threads,2500,4,24.571243702
threads,3000,4,45.000525491
threads,1000,8,0.627574761
threads,1500,8,2.621894131
threads,2000,8,7.871164820
threads,2500,8,17.309374778
threads,3000,8,42.575905116
threads,1000,12,0.736894423
threads,1500,12,2.727897290
threads,2000,12,9.051284508
threads,2500,12,17.887554711
threads,3000,12,35.230698128
threads,1000,16,0.580732262
threads,1500,16,2.186930702
threads,2000,16,5.693933137
threads,2500,16,14.201922055
threads,3000,16,28.907142279
threads,1000,20,0.545164785
threads,1500,20,2.098781959
threads,2000,20,5.686002112
threads,2500,20,14.604946074
threads,3000,20,29.760969304
threads,1000,4,0.918216279
threads,1500,4,3.304158640
threads,2000,4,12.284903480
threads,2500,4,24.864459332
threads,3000,4,47.980247750
threads,1000,8,0.614765723
threads,1500,8,2.627740943
threads,2000,8,7.935720426
threads,2500,8,17.438739517
threads,3000,8,33.233217293
threads,1000,12,0.506739385
threads,1500,12,2.258212319
threads,2000,12,5.591025968
threads,2500,12,15.314967651
threads,3000,12,30.611773653
threads,1000,16,0.530750941
threads,1500,16,2.124314633
threads,2000,16,5.739432924
threads,2500,16,14.442922820
threads,3000,16,31.043421406
threads,1000,20,0.594372386
threads,1500,20,2.183824799
threads,2000,20,5.856416701
threads,2500,20,14.620031532
threads,3000,20,29.455460107
threads,1000,4,0.823829265
threads,1500,4,3.083917229
threads,2000,4,12.814970763
threads,2500,4,20.634652937
threads,3000,4,43.142091874
threads,1000,8,0.638596201
threads,1500,8,2.711938560
threads,2000,8,8.150144541
threads,2500,8,17.521207002
threads,3000,8,34.677282270
threads,1000,12,0.556123651
threads,1500,12,2.498891734
threads,2000,12,7.334907891
threads,2500,12,14.887919109
threads,3000,12,31.220825815
threads,1000,16,0.578202467
threads,1500,16,2.222185993
threads,2000,16,5.778548526
threads,2500,16,14.335334730
threads,3000,16,30.685445253
threads,1000,20,0.526042132
threads,1500,20,2.121469768
threads,2000,20,5.896658968
threads,2500,20,14.681130752
threads,3000,20,29.581899306
threads,1000,4,0.910210783
threads,1500,4,3.782470464
threads,2000,4,12.790173764
threads,2500,4,23.779484653
threads,3000,4,47.315368263
threads,1000,8,0.632172627
threads,1500,8,2.688682078
threads,2000,8,7.808191090
threads,2500,8,17.516193821
threads,3000,8,33.459211167
threads,1000,12,0.512164030
threads,1500,12,2.156222181
threads,2000,12,5.652113836
threads,2500,12,14.866186946
threads,3000,12,30.709569653
threads,1000,16,0.552938497
threads,1500,16,2.270385420
threads,2000,16,5.671803461
threads,2500,16,14.634619220
threads,3000,16,30.302084853
threads,1000,20,0.513121822
threads,1500,20,2.132468861
threads,2000,20,5.886361483
threads,2500,20,14.729838594
threads,3000,20,30.178032400
threads,1000,4,0.865243496
threads,1500,4,3.752115152
threads,2000,4,12.898842545
threads,2500,4,24.915845542
threads,3000,4,48.485569367
threads,1000,8,0.610306138
threads,1500,8,2.824472643
threads,2000,8,7.897987653
threads,2500,8,17.308074878
threads,3000,8,33.473225381
threads,1000,12,0.505218991
threads,1500,12,2.261346729
threads,2000,12,5.703178260
threads,2500,12,14.816130571
threads,3000,12,30.190290903
threads,1000,16,0.503638905
threads,1500,16,2.236433639
threads,2000,16,6.062090681
threads,2500,16,14.718245318
threads,3000,16,30.692962412
threads,1000,20,0.510431694
threads,1500,20,2.178455886
threads,2000,20,6.033306733
threads,2500,20,14.835931488
threads,3000,20,29.469227381
processes,1000,4,0.841904969
processes,1500,4,4.119214750
processes,2000,4,10.211413264
processes,2500,4,24.958712424
processes,3000,4,41.872512158
processes,1000,8,0.655724524
processes,1500,8,2.965809177
processes,2000,8,7.507956786
processes,2500,8,24.796789591
processes,3000,8,38.109340328
processes,1000,12,0.618677812
processes,1500,12,2.761992235
processes,2000,12,7.040946956
processes,2500,12,18.899277589
processes,3000,12,31.047070557
processes,1000,16,0.523480761
processes,1500,16,2.471122989
processes,2000,16,5.939698029
processes,2500,16,15.471069790
processes,3000,16,29.609534464
processes,1000,20,0.507090977
processes,1500,20,2.340366582
processes,2000,20,6.013465183
processes,2500,20,15.418332103
processes,3000,20,29.145336082
processes,1000,4,0.850206558
processes,1500,4,4.411043266
processes,2000,4,10.328496502
processes,2500,4,25.418666730
processes,3000,4,40.033448434
processes,1000,8,0.636417180
processes,1500,8,2.914998818
processes,2000,8,7.541158637
processes,2500,8,17.826876845
processes,3000,8,32.001492812
processes,1000,12,0.509629376
processes,1500,12,2.397738626
processes,2000,12,6.013458764
processes,2500,12,15.753720916
processes,3000,12,30.236795836
processes,1000,16,0.528394218
processes,1500,16,2.373361101
processes,2000,16,6.094605508
processes,2500,16,15.895314707
processes,3000,16,31.183556086
processes,1000,20,0.552477365
processes,1500,20,2.405509363
processes,2000,20,5.969762181
processes,2500,20,15.584414195
processes,3000,20,29.473868004
processes,1000,4,0.824656008
processes,1500,4,4.189801889
processes,2000,4,9.558385857
processes,2500,4,22.084239356
processes,3000,4,41.728487804
processes,1000,8,0.652305017
processes,1500,8,3.292712561
processes,2000,8,7.556421871
processes,2500,8,18.281208399
processes,3000,8,32.475273354
processes,1000,12,0.684139338
processes,1500,12,2.443040544
processes,2000,12,6.019127928
processes,2500,12,15.632356240
processes,3000,12,30.896493780
processes,1000,16,0.537843932
processes,1500,16,2.561174802
processes,2000,16,6.179913620
processes,2500,16,15.648967721
processes,3000,16,29.920475227
processes,1000,20,0.548966281
processes,1500,20,2.411847641
processes,2000,20,6.416225313
processes,2500,20,16.647290756
processes,3000,20,28.991667939
processes,1000,4,0.902456788
processes,1500,4,4.102778738
processes,2000,4,10.969800373
processes,2500,4,24.079359504
processes,3000,4,37.563371246
processes,1000,8,0.625752979
processes,1500,8,2.922120910
processes,2000,8,7.552392037
processes,2500,8,17.974743287
processes,3000,8,31.606147318
processes,1000,12,0.507929176
processes,1500,12,2.450468098
processes,2000,12,5.828892088
processes,2500,12,15.626419117
processes,3000,12,30.745737452
processes,1000,16,0.541335601
processes,1500,16,2.463091675
processes,2000,16,6.069472262
processes,2500,16,15.646613675
processes,3000,16,29.230115014
processes,1000,20,0.549313926
processes,1500,20,2.662004152
processes,2000,20,6.207242804
processes,2500,20,15.816469358
processes,3000,20,30.385056792
processes,1000,4,0.887072570
processes,1500,4,4.322589640
processes,2000,4,10.654495825
processes,2500,4,24.289913521
processes,3000,4,40.512769499
processes,1000,8,0.630446870
processes,1500,8,2.928175805
processes,2000,8,7.544937050
processes,2500,8,18.144434328
processes,3000,8,32.089769440
processes,1000,12,0.525181284
processes,1500,12,2.456279563
processes,2000,12,5.769561695
processes,2500,12,15.977072075
processes,3000,12,30.076636679
processes,1000,16,0.551430760
processes,1500,16,2.483919028
processes,2000,16,6.028960200
processes,2500,16,15.400227070
processes,3000,16,29.174263882
processes,1000,20,0.543663607
processes,1500,20,2.406786147
processes,2000,20,6.137700954
processes,2500,20,15.711718862
processes,3000,20,28.990733894
processes,1000,4,1.004754121
processes,1500,4,4.295848760
processes,2000,4,9.932101238
processes,2500,4,22.706682245
processes,3000,4,40.134861483
processes,1000,8,0.617856786
processes,1500,8,2.981829061
processes,2000,8,7.494637754
processes,2500,8,17.993676569
processes,3000,8,32.165251002
processes,1000,12,0.510746607
processes,1500,12,2.468414118
processes,2000,12,5.842031975
processes,2500,12,15.752694871
processes,3000,12,31.737169191
processes,1000,16,0.545523749
processes,1500,16,2.420681203
processes,2000,16,5.776867591
processes,2500,16,15.843280956
processes,3000,16,29.417781509
processes,1000,20,0.503616450
processes,1500,20,2.393977762
processes,2000,20,6.014908959
processes,2500,20,16.686704405
processes,3000,20,29.146933444
processes,1000,4,1.024047138
processes,1500,4,3.757812454
processes,2000,4,8.784135094
processes,2500,4,26.169097067
processes,3000,4,41.632100471
processes,1000,8,0.628700721
processes,1500,8,3.049300903
processes,2000,8,7.519236815
processes,2500,8,17.894053397
processes,3000,8,31.693517279
processes,1000,12,0.524094854
processes,1500,12,2.799566216
processes,2000,12,6.947511351
processes,2500,12,16.284663255
processes,3000,12,30.647208534
processes,1000,16,0.558912850
processes,1500,16,2.498544980
processes,2000,16,6.048327162
processes,2500,16,15.630525203
processes,3000,16,29.320305830
processes,1000,20,0.507770690
processes,1500,20,2.430543621
processes,2000,20,6.264154304
processes,2500,20,16.668169190
processes,3000,20,29.349822119
processes,1000,4,0.902354648
processes,1500,4,4.609039942
processes,2000,4,9.789157054
processes,2500,4,23.481883341
processes,3000,4,37.919555866
processes,1000,8,0.649639950
processes,1500,8,2.981815425
processes,2000,8,7.620175220
processes,2500,8,18.169851982
processes,3000,8,31.669046545
processes,1000,12,0.528896014
processes,1500,12,2.431514360
processes,2000,12,5.910510682
processes,2500,12,15.872958734
processes,3000,12,30.789397218
processes,1000,16,0.546792879
processes,1500,16,2.613463002
processes,2000,16,6.111676813
processes,2500,16,15.692729265
processes,3000,16,29.931022540
processes,1000,20,0.519652358
processes,1500,20,2.490330122
processes,2000,20,6.547847179
processes,2500,20,16.577948857
processes,3000,20,30.799520517
processes,1000,4,0.881327339
processes,1500,4,4.485356347
processes,2000,4,10.661170445
processes,2500,4,27.000037117
processes,3000,4,41.574469134
processes,1000,8,0.634344988
processes,1500,8,3.020929721
processes,2000,8,7.631890101
processes,2500,8,17.996914451
processes,3000,8,31.847257716
processes,1000,12,0.518488436
processes,1500,12,2.451229558
processes,2000,12,5.855871568
processes,2500,12,15.730372039
processes,3000,12,30.145434078
processes,1000,16,0.539338972
processes,1500,16,2.546964341
processes,2000,16,6.097739984
processes,2500,16,15.717238767
processes,3000,16,29.938070381
processes,1000,20,0.516006383
processes,1500,20,2.422583369
processes,2000,20,6.150879841
processes,2500,20,15.515268390
processes,3000,20,29.797160097
processes,1000,4,0.916744463
processes,1500,4,4.411351885
processes,2000,4,9.726070863
processes,2500,4,22.460621590
processes,3000,4,43.314355178
processes,1000,8,0.630410516
processes,1500,8,2.950029971
processes,2000,8,7.480005215
processes,2500,8,17.895863876
processes,3000,8,31.786414744
processes,1000,12,0.516578411
processes,1500,12,2.417042614
processes,2000,12,5.799789736
processes,2500,12,15.982751052
processes,3000,12,31.676346224
processes,1000,16,0.537795518
processes,1500,16,2.481175303
processes,2000,16,5.976965641
processes,2500,16,15.727568879
processes,3000,16,29.662096149
processes,1000,20,0.517336465
processes,1500,20,2.444675657
processes,2000,20,6.038642087
processes,2500,20,15.559885002
processes,3000,20,29.056018993
